ensembl_gene_id	BE1	KAN	NBLW	CHLA122	CHLA15	BE2	KANR	NBLWR	CHLA136	CHLA20
ENSG00000117682	169	179	445	189	481	353	200	221	207	335
ENSG00000223583	4	0	4	3	5	8	9	5	3	0
ENSG00000225891	21	10	10	8	7	20	14	11	14	11
ENSG00000198830	1995	2387	4128	1514	5083	2254	2018	1103	2187	3867
ENSG00000117676	50	90	215	95	217	161	88	125	189	163
ENSG00000260063	10	10	8	3	13	15	15	18	18	3
ENSG00000117713	2205	2577	3076	2000	4941	3739	2336	2604	2454	3110
ENSG00000060642	43	40	36	46	64	115	64	67	77	74
ENSG00000204160	264	234	390	226	571	453	198	267	214	297
ENSG00000175793	3	2	1	5	3	1	1	1	2	2
ENSG00000142751	237	225	350	153	517	409	293	248	242	310
ENSG00000198746	98	103	170	72	193	203	106	92	106	141
ENSG00000090273	432	823	1643	564	1719	991	652	618	655	1233
ENSG00000253368	7	13	35	34	54	57	25	25	16	39
ENSG00000158246	2	4	14	3	13	14	12	11	10	7
ENSG00000090020	68	100	104	52	200	189	79	122	98	125
ENSG00000214973	32	54	67	28	93	43	50	33	51	74
ENSG00000225159	18	19	37	12	19	45	23	8	16	17
ENSG00000142784	362	376	568	708	934	663	282	445	816	493
ENSG00000243659	2	4	7	3	5	5	0	3	4	5
ENSG00000186501	236	323	356	443	579	466	182	237	388	237
ENSG00000206888	0	4	6	3	2	1	1	3	1	4
ENSG00000241547	5	13	12	15	28	14	14	15	20	21
ENSG00000142765	8	7	6	13	25	10	6	10	3	13
ENSG00000142733	15	26	66	128	161	53	26	38	59	115
ENSG00000181773	13	29	77	33	68	33	5	18	18	43
ENSG00000158195	670	811	1315	1454	1663	1913	717	656	1739	1099
ENSG00000126705	289	246	350	271	744	871	69	269	419	299
ENSG00000235912	1	7	1	1	6	1	2	8	3	9
ENSG00000126709	27	15	20	56	101	65	8	17	163	35
ENSG00000009780	71	82	154	175	219	172	93	109	187	129
ENSG00000231344	2	4	1	1	1	4	1	2	8	6
ENSG00000117758	221	269	515	297	526	350	349	348	464	341
ENSG00000269971	1	1	1	1	2	3	4	2	4	0
ENSG00000117751	301	441	855	620	987	754	452	364	821	810
ENSG00000252947	3	7	4	5	4	5	5	2	1	4
ENSG00000130775	9	5	2	33	21	38	6	28	35	13
ENSG00000117748	405	470	902	677	891	667	424	371	860	788
ENSG00000130768	2	21	0	2	5	1	9	3	1	1
ENSG00000158156	0	7	0	0	89	0	1	40	21	97
ENSG00000158161	348	621	711	632	829	788	404	304	886	656
ENSG00000238231	3	5	4	3	2	5	0	3	6	2
ENSG00000240750	1	5	5	8	4	2	8	6	4	3
ENSG00000228589	16	23	22	11	15	21	18	17	14	20
ENSG00000214812	1	5	0	1	3	1	4	6	1	2
ENSG00000169403	3	3	3	5	8	0	3	7	8	4
ENSG00000126698	486	647	1201	860	1409	983	695	565	1129	1198
ENSG00000130770	310	584	839	400	898	689	341	443	743	589
ENSG00000270605	33	12	13	49	33	69	68	31	54	23
ENSG00000130766	56	157	175	370	187	214	212	131	405	82
ENSG00000130772	67	85	98	105	119	91	64	49	149	84
ENSG00000204138	735	718	1195	1363	1563	1368	842	713	1564	1100
ENSG00000229820	11	15	12	11	15	12	5	2	11	5
ENSG00000221216	2	3	4	4	5	4	3	3	4	4
ENSG00000180198	437	613	1394	583	1887	1328	538	367	860	1600
ENSG00000242125	263	382	1260	182	1562	1303	252	229	275	1778
ENSG00000200087	11	20	71	35	101	150	30	20	40	310
ENSG00000279443	22	24	61	31	40	57	29	27	40	48
ENSG00000180098	170	182	250	217	247	270	136	127	305	215
ENSG00000197989	195	133	451	142	568	470	156	247	269	541
ENSG00000221539	6	5	9	4	8	5	2	5	8	12
ENSG00000120656	91	103	190	165	221	280	105	105	211	182
ENSG00000188060	0	1	1	2	22	8	2	4	3	9
ENSG00000229388	0	2	2	3	1	1	2	2	3	3
ENSG00000162419	235	224	415	264	360	494	189	257	271	322
ENSG00000198492	616	838	1265	1042	1260	1654	748	607	1292	919
ENSG00000116329	883	1285	637	1801	1200	2417	2069	1134	2271	592
ENSG00000159023	1109	2197	2943	2588	3585	3324	2314	1016	3791	2651
ENSG00000277958	2	2	1	4	4	2	5	0	4	2
ENSG00000253304	3	10	4	28	3	7	3	1	14	4
ENSG00000225750	5	1	3	5	1	5	8	1	6	4
ENSG00000116350	753	856	1279	1307	1940	1616	904	731	1716	1397
ENSG00000277916	26	25	27	51	53	29	44	21	27	41
ENSG00000116353	140	164	219	243	375	375	84	147	298	300
ENSG00000060656	124	80	145	761	710	874	244	208	754	444
ENSG00000162510	2	1	2	7	8	3	9	2	9	8
ENSG00000186056	3	0	2	9	3	17	7	13	3	5
ENSG00000162512	667	624	375	993	1231	1155	505	471	1762	529
ENSG00000134644	1174	1598	1588	1825	2468	2584	1321	946	2421	1657
ENSG00000084628	463	679	1414	982	1484	946	393	526	1000	782
ENSG00000060688	314	453	864	779	986	771	480	353	833	848
ENSG00000229447	11	15	11	32	23	13	13	9	18	17
ENSG00000121766	208	233	472	387	607	361	193	230	471	405
ENSG00000121769	2	1	2	1	27	18	0	8	3	2
